class	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
saccharomycetes	0	0	0	0	0	0	0.0529941706412294647588765200	0
chrysophyceae	0	0	0	0	0	0.0069934960486747324987761400	0	0
acidimicrobiia	0	0.0577089545061075310185630500	0	0	0	0	0	0
dehalococcoidia	0	0	0	0.0011184931660067556987226800	0	0	0.0368655100112900624409575800	0
chloroflexia	0	0	0.0393039625540429485118090500	0.0011184931660067556987226800	0.0263082368697981440734717300	0.0233116534955824416625871300	0.1958480219349784567175871500	0
mucoromycotina	0.068116321718627194131516900	0	0	0.0011184931660067556987226800	0.1195828948627188366975987800	0	0	0
oomycetes	0.0419177364422321194655488600	0.0865634317591612965278445700	0	0.0022369863320135113974453600	0.0047833157945087534679039500	0	0.0460818875141125780511969800	0
gemmatimonadetes	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0.0717497369176313020185592700	0	0	0.0103903300661517680878329200
pelagophyceae	0	0	0	0	0	0.0326363148938154183276219800	0	0
actinobacteria	0.2986638721509038511920356300	0.4616716360488602481485043800	0.7253367634973380498088398200	0.1353376730868174395454443800	0.4304984215057878121113555900	0.5734666759913280648996433300	7.6104237229556922651551807600	3.7474457105254043570117410700
bacteroidia	0.0628766046633481791983232900	0.0288544772530537655092815200	0.0285847000393039625540429500	0.0134219179920810683846721700	0.0047833157945087534679039500	0.0606102990885143483227265300	2.1059422593949448169397018500	0
liliopsida	0	0	0	0	0	0	0	0.0311709901984553042634987700
marchantiopsida	0	0	0	0	0.0143499473835262604037118500	0	0	0
acidobacteriia	0	0	0	0	0	0	0.0645146425197576092716757700	0.0138537734215356907837772300
clostridia	0.0733560387739062090647105100	0.0673271135904587861883235500	0.0750348376031729017043627400	0.0212513701541283582757309400	0.1721993686023151248445422400	0.0559479683893978599902091100	3.3893228266629801156655376600	0.0207806601323035361756658500
sphingobacteriia	0.0052397170552790149331936100	0.0096181590843512551697605100	0.0500232250687819344695751600	0.0089479453280540455897814500	0.1124079211709557064957428500	0.3240319835885959391099610700	3.3593695997788069399322596300	0.0069268867107678453918886200
oscillatoriophycidae	0	0	0.0035730875049129953192553700	0	0.0382665263560700277432316100	0	0	0
deinococci	0	0	0	0	0	0	0.009216377502822515610239400	0.0138537734215356907837772300
erysipelotrichia	0.0104794341105580298663872200	0.0384726363374050206790420300	0	0.0011184931660067556987226800	0	0	0	0
oscillatoriophycideae	0	0	0	0	0	0	0.0115204718785281445127992400	0
deltaproteobacteria	0	0	0.0107192625147389859577661100	0.0022369863320135113974453600	0	0.0512856376902813716576916800	0.5483744614179396788092440300	0.0103903300661517680878329200
anaerolineae	0	0	0.0107192625147389859577661100	0.0123034248260743126859494900	0.0047833157945087534679039500	0.0023311653495582441662587100	1.8225386511831524619248404400	0
ignavibacteria	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0023311653495582441662587100	0.1290292850395152185433515400	0
microsporidia	21.666230023578726748755567200	46.580744445513128787150139460	0.7181905884875120591703290800	0.1521150705769187750262845900	0.0526164737395962881469434600	0.0582791337389561041564678200	0.0460818875141125780511969800	0.0519516503307588404391646200
mammalia	0	0	0	0.0067109589960405341923360800	0	0.0093246613982329766650348500	0.0023040943757056289025598500	0
streptophyta	0.0052397170552790149331936100	0.0384726363374050206790420300	0	0.0022369863320135113974453600	0.6696642112312254855065531400	0	0.0345614156355844335383977300	0.04502476361999099504727600
dothideomycetes	0	0.0577089545061075310185630500	0	0	0	0	0.1105965300338701873228727400	0
mollicutes	0	0	0	0	0.0071749736917631302018559300	0	0	0.0034634433553839226959443100
chlamydiia	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0	0.7373102002258012488191516300	0
cyanobacteria	0.0366780193869531045323552500	0.1827450226026738482254496500	0.0178654375245649765962768400	0.029080822316175648166789700	4.4987085047354826365636659300	0.3799799519779937991001701800	0.2258012488191516324508651900	0.7030790011429363072766944900
betaproteobacteria	0.6864029342415509562483625900	0.8079253630855054342598826600	0.8218101261299889234287347700	0.4127239782564928528286692200	1.0427628432029082560030613200	4.2030911252535142317644590500	3.8501417018041058961775074300	82.69663699650192221106223808
chromadorea	0.0052397170552790149331936100	0	0	0	0	0	0.009216377502822515610239400	0
acidobacteria	0	0	0.0035730875049129953192553700	0.0022369863320135113974453600	0	0	0.5483744614179396788092440300	0
planctomycetia	0	0	0	0.0011184931660067556987226800	0	0	0.1774152669293334254971083600	0
negativicutes	0	0	0	0.0022369863320135113974453600	0	0.0046623306991164883325174300	0.1290292850395152185433515400	0
methanobacteria	0	0	0.0035730875049129953192553700	0	0	0	0.4446902145111863781940508300	0
agaricomycetes	0	0	0.0071461750098259906385107400	0	0	0	0.0023040943757056289025598500	0
verrucomicrobiae	0	0	0.0250116125343909672347875800	0	0	0.0279739841946989299951045500	0	0.0554150936861427631351089300
insecta	0	0	0.0071461750098259906385107400	0	0.0047833157945087534679039500	0	0.0253450381327619179281583400	0
malasseziomycetes	0	0	0	0	0	0	0.0115204718785281445127992400	0
gammaproteobacteria	72.690594707885774168194917470	49.177647398287967682985476580	1.4756851395290670668524672200	1.4294342661566337829675860700	89.54845498899837367262986702	89.18805510874886355689209036	36.158153037948434367871708030	3.7647629273023239704914626100
bacilli	4.1131778883940267225569819200	2.1352313167259786476868327400	94.76542680530246185729088505	97.62432051540165089591302597	2.6619152396441213048885487400	1.263491619460568338112222300	29.149097947051911246284647820	0.9178124891767395144252415800
alphaproteobacteria	0.1729106628242074927953890500	0.1635087044339713378859286300	0.1643620252259977846857469500	0.0961904122765809900901505500	0.4568066583755859561848273200	3.6272932839126279226985570100	4.0782470449989631575309324700	7.7165517957953797665639178500
cytophagia	0.0261985852763950746659680400	0	0.3215778754421695787329831700	0.005592465830033778493613400	0.0310915526643068975413756800	0.0629414644380725924889852400	0.4331697426326582336812515800	0.1350742908599729851418280100
flavobacteriia	0.0314383023316740895991616500	0.0673271135904587861883235500	0.7217636759924250544895844500	0.0324363018141959152629577400	0.0215249210752893906055677800	0.0419609762920483949926568300	4.4445980507361581530379484300	0.0554150936861427631351089300
fusobacteriia	0	0.0384726363374050206790420300	0	0	0	0	0	0
