family	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
rhizobiaceae	0	0	0.0071461750098259906385107400	0.0011184931660067556987226800	0.0047833157945087534679039500	0.275077511247872811618528100	0.3525264394829612220916568700	0.0034634433553839226959443100
pseudonocardiaceae	0	0	0	0.0011184931660067556987226800	0.0358748684588156510092796300	0	0	0
nocardioidaceae	0.0104794341105580298663872200	0	0	0	0.0023916578972543767339519800	0.0139869920973494649975522800	0	0
burkholderiaceae	0.0157191511658370447995808200	0.0961815908435125516976050800	0	0.0022369863320135113974453600	0.1339328422462450971013106300	0.0862531179336550341515723700	0.5806317826778184834450819100	0.0727323104630623766148304600
rhodocyclaceae	0	0	0.0250116125343909672347875800	0	0	0	0	0
neisseriaceae	0	0.0192363181687025103395210200	0.0285847000393039625540429500	0	0	0	0	0
cytophagaceae	0.0261985852763950746659680400	0	0.3215778754421695787329831700	0.005592465830033778493613400	0.0310915526643068975413756800	0.0629414644380725924889852400	0.4331697426326582336812515800	0.1350742908599729851418280100
moraxellaceae	0.1100340581608593135970657600	0.3077810906992401654323362500	0.0107192625147389859577661100	0.0145404111580878240833948500	0.7916387639911986989381038900	1.0816607221950252931440427100	0.4446902145111863781940508300	0.0588785370415266858310532300
xanthobacteraceae	0	0	0	0	0	0	0.0207368493813506601230386400	0
syntrophomonadaceae	0	0	0.0428770500589559438310644200	0	0	0	0	0
methylothermaceae	0	0	0	0	0	0	0.0184327550056450312204787900	0
verrucomicrobiaceae	0	0	0.0250116125343909672347875800	0	0	0.0279739841946989299951045500	0	0
peptoniphilaceae	0.0366780193869531045323552500	0	0.0142923500196519812770214700	0.0022369863320135113974453600	0.1339328422462450971013106300	0.0326363148938154183276219800	0.1774152669293334254971083600	0
dermabacteraceae	0	0.0288544772530537655092815200	0	0.0011184931660067556987226800	0	0.0233116534955824416625871300	0.103684246906753300615193200	0.0138537734215356907837772300
gemmatimonadaceae	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0.0717497369176313020185592700	0	0	0.0103903300661517680878329200
