genus	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
rubellimicrobium	0	0.0096181590843512551697605100	0	0	0	0.0326363148938154183276219800	0	0
eterusia	0	0	0.0071461750098259906385107400	0	0.0023916578972543767339519800	0	0.0207368493813506601230386400	0
alternaria	0	0.0577089545061075310185630500	0	0	0	0	0	0
prosthecobacter	0	0	0	0	0	0.0093246613982329766650348500	0	0
gemmobacter	0	0	0	0.0011184931660067556987226800	0	0.0512856376902813716576916800	0	0
ohtaekwangia	0	0	0.1715082002358237753242576900	0	0	0	0	0
tepidimonas	0.0261985852763950746659680400	0.0480907954217562758488025400	0.1322042376817808268124486400	0.0022369863320135113974453600	0.0167416052807806371376638300	0.0209804881460241974963284100	0.9193336559065459321213796900	0
haliscomenobacter	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0	0.0023916578972543767339519800	0.0046623306991164883325174300	0.603672726434874772470680400	0
sandaracinobacter	0	0	0	0.0011184931660067556987226800	0.0717497369176313020185592700	0	0	0
coniothyrium	0	0	0	0	0	0	0.1105965300338701873228727400	0
mycoplana	0	0	0.0071461750098259906385107400	0	0	0.0466233069911648833251742500	0.207368493813506601230386400	0
cryocola	0.0052397170552790149331936100	0.0096181590843512551697605100	0.0357308750491299531925536900	0.0044739726640270227948907200	0.0071749736917631302018559300	0	0.5760235939264072256399622100	0.0588785370415266858310532300
bifidobacterium	0	0.0384726363374050206790420300	0.0821810126129988923428734800	0.0078294521620472898910587700	0.0573997895341050416148474100	0.0256428188451406858288458400	1.7395912536577498214326858800	0.0069268867107678453918886200
geoalkalibacter	0	0	0.0107192625147389859577661100	0	0	0	0	0
enterococcus	3.0809536285040607807178412400	1.3561604308935269789362316100	92.51795476471218780147925823	97.44759859517258349551484240	0.8777384482923562613603750100	0.4522460778142993682541902700	11.250892836570585931199741940	0.5922488137706507810064766400
haemophilus	0.0523971705527901493319360800	0	0	0	0	0.0116558267477912208312935600	0	0
sphingobacterium	0	0	0.0428770500589559438310644200	0.0022369863320135113974453600	0.0023916578972543767339519800	0.0046623306991164883325174300	0.8456026358839658072394645300	0
gemmatimonas	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0.0717497369176313020185592700	0	0	0.0103903300661517680878329200
porphyromonas	0	0	0	0	0.0023916578972543767339519800	0.0279739841946989299951045500	0	0
ralstonia	0	0	0	0.0011184931660067556987226800	0	0	0	0.0588785370415266858310532300
sphingopyxis	0	0	0	0.0011184931660067556987226800	0	0	0.1428538512937489919587106300	0
reyranella	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0163181574469077091638109900	0.4838598188981820695375682600	0
microbacterium	0	0	0	0	0	0.0023311653495582441662587100	0.0161286606299394023179189400	0
pseudomonas	0.3301021744825779407911972800	0.2693084543618351447532942200	0.2965662629077786114981955900	0.3467328814620942666040310500	0.5046398163206734908638668300	81.67704035247220085320651794	1.4630999285730743531255040200	0.4744917396875974093443701700
synechococcus	0.0052397170552790149331936100	0	0	0	0.0071749736917631302018559300	0	0	0
clostridium	0	0.0192363181687025103395210200	0.0035730875049129953192553700	0.0011184931660067556987226800	0	0.0046623306991164883325174300	0.7234856339715674754037925400	0.0034634433553839226959443100
chelatococcus	0	0	0.0107192625147389859577661100	0	0	0	0	0
homo	0	0	0	0.0067109589960405341923360800	0	0	0.0023040943757056289025598500	0
micavibrio	0	0	0	0	0	0	0.1751111725536277965945485100	0
sediminibacterium	0	0	0	0.0033554794980202670961680400	0	0.2167983775089167074620602800	0.6405382364461648349116379800	0.0069268867107678453918886200
anaerococcus	0	0	0.0107192625147389859577661100	0	0	0	0	0
hyphomicrobium	0.0157191511658370447995808200	0	0.0035730875049129953192553700	0.0022369863320135113974453600	0	0.0303051495442571741613632700	0.2488421925762079214764636800	0.0034634433553839226959443100
terrimonas	0	0	0	0	0.0023916578972543767339519800	0	0.1820234556807446833022280600	0
thermomonas	0	0.0673271135904587861883235500	0	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.2880117969632036128199811100	0
daeguia	0	0.0096181590843512551697605100	0.0821810126129988923428734800	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.3387018732287274486762977800	0
cloacibacterium	0	0.0577089545061075310185630500	0.4859399006681673634187301200	0.0178958906561080911795628900	0.0023916578972543767339519800	0.0046623306991164883325174300	1.108269394714407502131287300	0.0554150936861427631351089300
paludibacter	0.0366780193869531045323552500	0	0	0	0	0.0139869920973494649975522800	0	0
thermoanaerobacterium	0	0	0.0035730875049129953192553700	0	0	0	0.1497661344208658786663901800	0
fusobacterium	0	0.0384726363374050206790420300	0	0	0	0	0	0
prevotella	0	0.0288544772530537655092815200	0	0	0.0023916578972543767339519800	0.0093246613982329766650348500	0.103684246906753300615193200	0
conexibacter	0	0	0	0	0.0334832105615612742753276600	0.0046623306991164883325174300	0.0023040943757056289025598500	0
exiguobacterium	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.1751111725536277965945485100	0
pelobacter	0	0	0	0	0	0	0.0069122831271168867076795500	0
natronobacillus	0	0	0	0	0	0.0256428188451406858288458400	0	0
thermicanus	0.0209588682211160597327744300	0.0192363181687025103395210200	0.7074713259727730732125629800	0.0436212334742634722501845500	0.0167416052807806371376638300	0.0559479683893978599902091100	7.320107831616783023432639800	0.0380978769092231496553873900
serratia	0.1519517946030914330626146200	0.4616716360488602481485043800	0.0285847000393039625540429500	0.005592465830033778493613400	0.7509805797378742944609203100	0.1561880784204023591393337500	0.0299532268841731757332780400	0.0173172167769196134797215400
geobacter	0	0	0	0	0	0	0.1681988894265109098868689700	0
empedobacter	0	0.0096181590843512551697605100	0.2000929002751277378783006400	0.0111849316600675569872268100	0.019133263178035013871615800	0.0279739841946989299951045500	3.1197437847054215340660353400	0
planctomyces	0	0	0	0	0	0	0.0806433031496970115895947100	0
