identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
rhodocista	0	0	0	0	0	0.1328764249248199174767466300	0	0
planctomyces	0	0	0	0	0	0	0.0808444783221305984801238100	0
rhizopus stolonifer	0	0	0	0	0.019133263178035013871615800	0	0	0
candidatus alysiosphaera	0.0052397170552790149331936100	0	0	0	0	0	0	0.0623419803969106085269975400
atopostipes sp.	0.0157191511658370447995808200	0.0096181590843512551697605100	0.0714694110920526014865637500	0.003355554561317167017135700	0.1100162632737013297617908700	0.1305452595752616733104879100	0.0877740050354560783498487100	0
microbacterium sediminicola	0	0	0	0	0	0.0023311653495582441662587100	0.0161688956644261196960247600	0
fusobacteriaceae	0	0.0384726363374050206790420300	0	0	0	0	0	0
alloscardovia omnicolens	0	0	0	0	0	0.0209804881460241974963284100	0	0
rothia aeria	0.0419177364422321194655488600	0	0	0	0.09805797378742944609203100	0.0093246613982329766650348500	0	0.0034634433553839226959443100
haliscomenobacter	0	0	0.0035734705546026300743281900	0	0	0	0.1663086411198115168733975500	0
oenothera berteroana	0.0052397170552790149331936100	0.0384726363374050206790420300	0	0.0022370363742114446780904700	0.6696642112312254855065531400	0	0.0346476335666273993486244900	0.0034634433553839226959443100
knoellia sinensis	0	0.0096181590843512551697605100	0.0071469411092052601486563800	0	0	0.0209804881460241974963284100	0	0.0034634433553839226959443100
alcanivorax dieselolei	0	0	0	0	0	0.0419609762920483949926568300	0	0
pseudomonas stutzeri	0.2986638721509038511920356300	0.2212176589400788689044916800	0.2394225271583762149799885600	0.316540646950919421949800900	0.2295991581364201664593896500	80.76089237009581089586684384	0.2702515418196937149192710100	0.4052228725799189554254840200
pseudomonas thermotolerans	0	0	0.0464551172098341909662664400	0.0022370363742114446780904700	0.0047833157945087534679039500	0	0.2425334349663917954403714200	0
crocinitomix	0	0	0	0	0	0	0.0369574758044025593051994500	0
alternaria sp.	0	0.0577089545061075310185630500	0	0	0	0	0	0
porphyromonadaceae	0.0366780193869531045323552500	0	0	0	0	0.0139869920973494649975522800	0	0
agrobacterium sp.	0	0	0	0	0	0.1981490547124507541319905800	0	0
gemmatimonas	0.0052397170552790149331936100	0	0.0035734705546026300743281900	0.0011185181871057223390452300	0.0717497369176313020185592700	0	0	0
dietzia maris	0.0052397170552790149331936100	0	0	0.0022370363742114446780904700	0	0	0.0415771602799528792183493900	0.0138537734215356907837772300
ruminococcus	0	0.0096181590843512551697605100	0	0.0111851818710572233904523300	0.009566631589017506935807900	0.0046623306991164883325174300	1.7185226249047190076917746500	0.0069268867107678453918886200
roseomonas sp.	0.0052397170552790149331936100	0	0.0071469411092052601486563800	0.0022370363742114446780904700	0	0	0.0023098422377751599565749700	0.1974162712568835936688255500
roseovarius sp.	0	0	0	0	0	0.0396298109424901508263981200	0	0
myxococcales	0	0	0	0	0	0	0.1732381678331369967431224400	0
actinomyces cardiffensis	0.0052397170552790149331936100	0.0480907954217562758488025400	0	0.0011185181871057223390452300	0	0	0.108562585175432517959023400	0
dokdonella	0	0	0	0	0	0	0.0161688956644261196960247600	0.0034634433553839226959443100
altererythrobacter	0.0052397170552790149331936100	0	0	0	0	0	0.2078858013997643960917469300	0
pseudomonas	0.0104794341105580298663872200	0	0.0107204116638078902229845600	0.0190148091807972797637689600	0	0.6014406601860269948947478800	0.2356039082530663155706465200	0.0069268867107678453918886200
olsenella sp.	0	0	0	0	0	0	0.0184787379022012796525997300	0
conexibacteraceae	0	0	0	0	0.0334832105615612742753276600	0	0	0
bdellovibrionaceae	0	0	0	0.0011185181871057223390452300	0	0	0.0900838472732312383064236700	0
