identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
rhodocista	0	0	0	0	0	57	0	0
planctomyces	0	0	0	0	0	0	35	0
rhizopus stolonifer	0	0	0	0	8	0	0	0
candidatus alysiosphaera	1	0	0	0	0	0	0	18
atopostipes sp.	3	1	20	3	46	56	38	0
microbacterium sediminicola	0	0	0	0	0	1	7	0
fusobacteriaceae	0	4	0	0	0	0	0	0
alloscardovia omnicolens	0	0	0	0	0	9	0	0
rothia aeria	8	0	0	0	41	4	0	1
haliscomenobacter	0	0	1	0	0	0	72	0
oenothera berteroana	1	4	0	2	280	0	15	1
knoellia sinensis	0	1	2	0	0	9	0	1
alcanivorax dieselolei	0	0	0	0	0	18	0	0
pseudomonas stutzeri	57	23	67	283	96	34644	117	117
pseudomonas thermotolerans	0	0	13	2	2	0	105	0
crocinitomix	0	0	0	0	0	0	16	0
alternaria sp.	0	6	0	0	0	0	0	0
porphyromonadaceae	7	0	0	0	0	6	0	0
agrobacterium sp.	0	0	0	0	0	85	0	0
gemmatimonas	1	0	1	1	30	0	0	0
dietzia maris	1	0	0	2	0	0	18	4
ruminococcus	0	1	0	10	4	2	744	2
roseomonas sp.	1	0	2	2	0	0	1	57
roseovarius sp.	0	0	0	0	0	17	0	0
myxococcales	0	0	0	0	0	0	75	0
actinomyces cardiffensis	1	5	0	1	0	0	47	0
dokdonella	0	0	0	0	0	0	7	1
altererythrobacter	1	0	0	0	0	0	90	0
pseudomonas	2	0	3	17	0	258	102	2
olsenella sp.	0	0	0	0	0	0	8	0
conexibacteraceae	0	0	0	0	14	0	0	0
bdellovibrionaceae	0	0	0	1	0	0	39	0
marchantiaceae	0	0	0	0	6	0	0	0
hyphomicrobium facile	3	0	0	0	0	13	0	0
acetobacteraceae	0	0	0	1	0	0	0	3
clostridium	0	2	0	1	0	0	0	0
klebsiella	3	4	0	5	36	2	23	0
syntrophomonas spp.	0	0	12	0	0	0	0	0
pseudomonas oryzihabitans	0	0	0	2	0	0	54	0
xylella	0	0	0	0	0	5	0	0
massilia timonae	80	49	75	280	222	200	115	19017
bacteroides dorei	1	0	1	1	0	1	1	0
halomonas xinjiangensis	3	4	59	3	71	34	61	0
saprospiraceae	0	1	0	1	0	1	86	0
clostridiales	0	0	0	1	0	4	259	1
saccharomycetales	0	0	0	0	0	0	17	0
leucobacter luti	0	0	0	0	0	0	3	0
haemophilus parainfluenzae	1	0	0	0	0	5	0	0
prevotella spp.	0	3	0	0	0	0	0	0
xanthomonas sp.	0	0	8	0	0	0	0	0
kofleriaceae	0	0	0	0	0	0	0	3
burkholderia spp.	0	0	0	0	0	0	56	0
nosema furnacalis	1	2	0	0	0	0	0	0
streptococcus sanguinis	47	1	36	2	68	69	32	0
pelobacter spp.	0	0	0	0	0	0	3	0
sphingomonas sp.	1	0	6	7	3	756	19	5
uncultured candidatus competibacter sp.	0	0	0	0	0	0	52	0
enterococcus villorum	8	3	544	5778	13	11	25	13
geodermatophilus spp.	0	0	0	0	0	7	1	0
sphingomonas faeni	0	0	0	0	0	0	0	4
planctomycetaceae	0	0	0	1	0	0	42	0
blautia producta	0	0	0	1	0	3	0	0
sporocytophaga spp.	0	0	0	1	12	0	0	0
veillonella sp.	0	0	0	2	0	2	56	0
acidovorax avenae	1	1	5	2	3	141	229	2
levilinea spp.	0	0	0	0	0	0	44	0
tepidimonas spp.	5	5	37	2	7	9	399	0
lactobacillus pentosus	0	0	124	1	1	0	17	1
alkalibacterium thalassios	0	0	0	2	0	0	98	0
deinococcus spp.	0	0	0	0	0	0	0	4
pseudomonas tuomuerense	0	0	0	0	1	10	0	0
massilia	0	0	0	0	0	0	0	12
corynebacterium diphtheriae	3	12	68	28	5	3	1108	18
solobacterium moorei	0	2	0	1	0	0	0	0
salmonella enterica	7352	3084	32	123	487	153	68	46
tepidiphilus petrobacter sp.	0	0	3	4	1	3	393	2
lysobacter sp.	1	0	1	3	3	294	0	0
pediococcus pentosaceus	0	0	0	1	0	0	0	4
enterococcus sp.	9	3	103	422	18	10	15	7
anaerolineales	0	0	0	1	0	0	23	0
peptoniphilus asaccharolyticus	6	0	0	0	55	4	0	0
ohtaekwangia spp.	0	0	48	0	0	0	0	0
helcobacillus massiliensis	0	3	0	0	0	0	0	0
chloroflexus spp.	0	0	10	1	11	9	0	0
cyanobacterium spp.	0	0	0	0	0	0	5	0
brachybacterium arcticum	0	0	0	1	0	10	45	4
sphingomonas wittichii	0	0	0	0	0	3	0	0
