order	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
anaerolineales	0	0	0.0107192625147389859577661100	0.0123034248260743126859494900	0.0047833157945087534679039500	0.0023311653495582441662587100	1.8225386511831524619248404400	0
bdellovibrionales	0	0	0	0.0011184931660067556987226800	0	0.0093246613982329766650348500	0.0898596806525195271998341100	0
bifidobacteriales	0	0.0384726363374050206790420300	0.0821810126129988923428734800	0.0078294521620472898910587700	0.0573997895341050416148474100	0.0466233069911648833251742500	1.7395912536577498214326858800	0.0069268867107678453918886200
desulfuromonadales	0	0	0.0107192625147389859577661100	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.2857077025874979839174212600	0
thermales	0	0	0	0	0	0	0.009216377502822515610239400	0
lepidoptera	0	0	0.0071461750098259906385107400	0	0.0023916578972543767339519800	0	0.0207368493813506601230386400	0
erysipelotrichales	0.0104794341105580298663872200	0.0384726363374050206790420300	0	0.0011184931660067556987226800	0	0	0	0
methylophilales	0.0052397170552790149331936100	0	0	0	0.0502248158423419114129914900	0	0	0
burkholderiales	0.6811632171862719413151689800	0.7886890449168029239203616400	0.7574945510415550076821381400	0.4082500055924658300337784900	0.9901463694633119678561178600	4.1960976292048394992656829100	2.9446326121517937374714868300	82.68971010979115436567034946
chromulinales	0	0	0	0	0	0.0069934960486747324987761400	0	0
sarcinochrysidales	0	0	0	0	0	0.0326363148938154183276219800	0	0
methylococcales	0	0	0	0	0	0	0.0184327550056450312204787900	0
acidimicrobiales	0	0.0577089545061075310185630500	0	0	0	0.0023311653495582441662587100	0.1497661344208658786663901800	0.0034634433553839226959443100
enterobacteriales	72.08278752947340843594445900	48.379340194286813503895354430	0.7539214635366420123628827700	1.0469096033823233340044292300	87.57294556586625849038553525	5.3896542881786605123901438300	30.054607036704223404990668420	3.186367886953208880268763200
primates	0	0	0	0.0067109589960405341923360800	0	0	0.0023040943757056289025598500	0
deinococcales	0	0	0	0	0	0	0	0.0138537734215356907837772300
bacteroidales	0.0628766046633481791983232900	0.0288544772530537655092815200	0.0285847000393039625540429500	0.0134219179920810683846721700	0.0047833157945087534679039500	0.0606102990885143483227265300	2.1059422593949448169397018500	0
verrucomicrobiales	0	0	0.0250116125343909672347875800	0	0	0.0279739841946989299951045500	0	0.0554150936861427631351089300
xanthomonadales	0.0314383023316740895991616500	0.0961815908435125516976050800	0.2000929002751277378783006400	0.0156589043240945797821175300	0.4615899741700947096527312700	0.7459729118586381332027880700	3.4676620354369714983525725200	0.0242441034876874588716101500
chromatiales	0	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0	0	0.1912398331835671989124674500	0
mucorales	0.068116321718627194131516900	0	0	0.0011184931660067556987226800	0.1195828948627188366975987800	0	0	0
ignavibacteriales	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0023311653495582441662587100	0.1290292850395152185433515400	0
sphingomonadales	0.0104794341105580298663872200	0.0480907954217562758488025400	0.0250116125343909672347875800	0.0178958906561080911795628900	0.2630823686979814407347173100	2.1843019325360747837844138300	1.1359185272228750489620054800	0.04502476361999099504727600
hemiptera	0	0	0	0	0.0023916578972543767339519800	0	0.004608188751411257805119700	0
dehalococcoidales	0	0	0	0.0011184931660067556987226800	0	0	0.0368655100112900624409575800	0
synechococcales	0.0052397170552790149331936100	0	0	0	0.0071749736917631302018559300	0	0	0
rhodobacterales	0	0.0096181590843512551697605100	0	0.0044739726640270227948907200	0.0023916578972543767339519800	0.7389794158099634007040119400	0	0
microsporidia	21.666230023578726748755567200	46.580744445513128787150139460	0.7181905884875120591703290800	0.1521150705769187750262845900	0.0526164737395962881469434600	0.0582791337389561041564678200	0.0460818875141125780511969800	0.0519516503307588404391646200
pleosporales	0	0.0577089545061075310185630500	0	0	0	0	0.1105965300338701873228727400	0
rhizobiales	0.1519517946030914330626146200	0.1057997499278638068673655900	0.1322042376817808268124486400	0.0648726036283918305259154900	0.1889409738830957619822060700	0.5454926917966291349045387800	2.2303633556830487776779336900	7.120839538669345062861496900
actinomycetales	0.2986638721509038511920356300	0.4231989997114552274694623400	0.6431557508843391574659663400	0.1275082209247701496543856100	0.3396154214101214962211805200	0.5198498729514884490756929400	5.6565516923573189557844289300	3.7370553804592525889239081500
methanobacteriales	0	0	0.0035730875049129953192553700	0	0	0	0.4446902145111863781940508300	0
myxococcales	0	0	0	0	0	0	0.1728070781779221676919886600	0.0103903300661517680878329200
pythiales	0.0419177364422321194655488600	0.0865634317591612965278445700	0	0.0022369863320135113974453600	0.0047833157945087534679039500	0	0.0460818875141125780511969800	0
vibrionales	0	0	0	0	0	0.0396298109424901508263981200	0	0
pasteurellales	0.0523971705527901493319360800	0	0	0	0	0.0116558267477912208312935600	0	0
fusobacteriales	0	0.0384726363374050206790420300	0	0	0	0	0	0
oceanospirillales	0.0838354728844642389310977200	0.1057997499278638068673655900	0.2108121627898667238360667500	0.0033554794980202670961680400	0.1698077107050607481105902600	0.1212205981770286966454530600	0.1405497569180433630561507800	0
chlamydiales	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0	0.7373102002258012488191516300	0
gammaproteobacteria	0	0.0096181590843512551697605100	0	0	0.0023916578972543767339519800	0	0.3248773069744936752609386900	0
acidobacteriales	0	0	0	0	0	0	0.0645146425197576092716757700	0.0138537734215356907837772300
