species	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
oxalobacter sp.	0.1205134922714173434634529700	0.0577089545061075310185630500	0.0535963125736949297888305300	0.0559246583003377849361340400	0.1817660001913326317803501400	0.0815907872345385458190549500	0.1244210962881039607382318400	10.175596578117964880684376410
pirellula spp.	0	0	0	0.0011184931660067556987226800	0	0	0.0967719637796364139075136500	0
enterococcus faecium	0.0157191511658370447995808200	0.0096181590843512551697605100	0.3144317004323435880944724300	0.3243630181419591526295774300	0.0023916578972543767339519800	0	0	0.0034634433553839226959443100
chloroflexus spp.	0	0	0.0393039625540429485118090500	0.0011184931660067556987226800	0.0263082368697981440734717300	0.0233116534955824416625871300	0.1958480219349784567175871500	0
labilithrix luteola	0	0	0	0	0	0	0.1728070781779221676919886600	0
syntrophomonas spp.	0	0	0.0428770500589559438310644200	0	0	0	0	0
pedosphaera spp.	0	0	0	0	0	0	0	0.0554150936861427631351089300
nocardioides spp.	0	0	0	0	0	0.0139869920973494649975522800	0	0
ruminococcus sp.	0	0.0096181590843512551697605100	0	0.0111849316600675569872268100	0.009566631589017506935807900	0.0046623306991164883325174300	1.7142462155249879035045275500	0.0069268867107678453918886200
plautia stali	0	0	0	0	0.0023916578972543767339519800	0	0.004608188751411257805119700	0
thiorhodospira spp.	0	0	0	0	0	0	0.0253450381327619179281583400	0
uncultured candidatus competibacter sp.	0	0.0096181590843512551697605100	0	0	0.0023916578972543767339519800	0	0.3248773069744936752609386900	0
rhodocista sp.	0	0	0	0	0	0.1328764249248199174767466300	0	0
rhizopus stolonifer	0	0	0	0	0.019133263178035013871615800	0	0	0
corynebacterium kroppenstedtii	0	0.0288544772530537655092815200	0.0035730875049129953192553700	0	0.0430498421505787812111355600	0	0	0
planctomyces sp.	0	0	0	0	0	0	0.0806433031496970115895947100	0
