species	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
oxalobacter sp.	23	6	15	50	76	35	54	2938
pirellula spp.	0	0	0	1	0	0	42	0
enterococcus faecium	3	1	88	290	1	0	0	1
chloroflexus spp.	0	0	11	1	11	10	85	0
labilithrix luteola	0	0	0	0	0	0	75	0
syntrophomonas spp.	0	0	12	0	0	0	0	0
pedosphaera spp.	0	0	0	0	0	0	0	16
nocardioides spp.	0	0	0	0	0	6	0	0
ruminococcus sp.	0	1	0	10	4	2	744	2
plautia stali	0	0	0	0	1	0	2	0
thiorhodospira spp.	0	0	0	0	0	0	11	0
uncultured candidatus competibacter sp.	0	1	0	0	1	0	141	0
rhodocista sp.	0	0	0	0	0	57	0	0
rhizopus stolonifer	0	0	0	0	8	0	0	0
corynebacterium kroppenstedtii	0	3	1	0	18	0	0	0
planctomyces sp.	0	0	0	0	0	0	35	0
pantoea spp.	6358	1877	171	803	35779	2089	12938	869
bifidobacterium thermophilum	0	4	23	7	24	11	755	2
alcanivorax dieselolei	0	0	0	0	0	18	0	0
erysipelothrix rhusiopathiae	2	2	0	0	0	0	0	0
actinomyces johnsonii	2	0	1	0	4	2	31	0
streptococcus sanguinis	47	1	36	2	68	69	32	0
haliangium spp.	0	0	0	0	0	0	0	3
terrimonas spp.	0	0	0	0	1	0	79	0
candida sp.	0	0	0	0	0	0	17	0
novosphingobium subarcticum	0	0	0	1	1	25	160	0
acidobacterium spp.	0	0	0	0	0	0	28	4
pythium nagaii	8	9	0	2	2	0	20	0
cardiobacterium hominis	0	0	0	0	18	0	0	0
brachybacterium arcticum	0	0	0	1	0	10	45	4
mucor plumbeus	13	0	0	1	42	0	0	0
dietzia maris	1	0	0	2	0	0	18	4
halomonas xinjiangensis	3	4	59	3	71	34	61	0
homo sapiens	0	0	0	6	0	0	1	0
acinetobacter towneri	8	7	2	4	191	21	107	2
