family	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
mucoraceae	13	0	0	1	42	0	0	0
malasseziaceae	0	0	0	0	0	0	5	0
nosematidae	1	2	0	0	0	0	0	0
saccharomycetales	0	0	0	0	0	0	17	0
pleosporaceae	0	6	0	0	0	0	0	0
debaryomycetaceae	0	0	0	0	0	0	6	0
amanitaceae	0	0	2	0	0	0	1	0
burenellidae	4134	4841	201	136	22	25	20	15
rhizopodaceae	0	0	0	0	8	0	0	0
coniothyriaceae	0	0	0	0	0	0	48	0
