identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
rhizopus stolonifer	0	0	0	0	11.111111111111111111111111110	0	0	0
alternaria sp.	0	0.1237368529593730666116725100	0	0	0	0	0	0
saccharomycetales	0	0	0	0	0	0	17.708333333333333333333333330	0
nosema furnacalis	0.0241080038572806171648987500	0.0412456176531243555372241700	0	0	0	0	0	0
debaryomycetaceae	0	0	0	0	0	0	6.2500	0
vairimorpha cheracis	2.8929604628736740597878495700	3.0727985151577644875232006600	0.9950248756218905472636815900	2.9197080291970802919708029200	0	4.00	0	13.333333333333333333333333330
mucor	0.313404050144648023143683700	0	0	0.7299270072992700729927007300	58.333333333333333333333333330	0	0	0
vairimorpha	96.76952748312439729990356798	96.76221901422973809032790266	99.00497512437810945273631841	96.35036496350364963503649635	30.555555555555555555555555560	96.00	20.833333333333333333333333330	86.66666666666666666666666667
malassezia restricta	0	0	0	0	0	0	5.2083333333333333333333333300	0
dothideomycetes	0	0	0	0	0	0	50.0	0
