class	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
acidimicrobiia	0	0.1084010840108401084010840100	0	0	0	0	0	0
dehalococcoidia	0	0	0	0.0011203352042931245028512500	0	0	0.0371574547143520668834184900	0
chloroflexia	0	0	0.0395954069327957956877002300	0.0011203352042931245028512500	0.0265379975874547647768395700	0.0233366782572168677510443200	0.1973989781699953553181607100	0
gemmatimonadetes	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0.0723763570566948130277442700	0	0	0.0104036620890553474823137700
actinobacteria	0.3818583774368593823273263200	0.8672086720867208672086720900	0.7307152370325042295093769100	0.1355605597194680648450016200	0.4342581423401688781664656200	0.5740822851275349466756901800	7.6706920575940548072457036700	3.7522541267859619919545013200
bacteroidia	0.0803912373551282910162792300	0.0542005420054200542005420100	0.0287966595874878514092365300	0.0134440224515174940342150400	0.0048250904704463208685162800	0.0606753634687638561527152200	2.12261960055736182071528100	0
acidobacteriia	0	0	0	0	0	0	0.0650255457501161170459823500	0.0138715494520737966430850300
clostridia	0.0937897769143163395189924300	0.1264679313459801264679313500	0.0755912314171556099492458900	0.0212863688815693655541738100	0.1737032569360675512665862500	0.0560080278173204826025063600	3.4161634928007431490942870400	0.0208073241781106949646275500
sphingobacteriia	0.006699269779594024251356600	0.0180668473351400180668473400	0.0503941542781037399661639200	0.0089626816343449960228100200	0.1133896260554885404101326900	0.32437982777531446173951600	3.3859730608453320947515095200	0.0069357747260368983215425200
oscillatoriophycidae	0	0	0.0035995824484359814261545700	0	0.0386007237635705669481302800	0	0	0
deinococci	0	0	0	0	0	0	0.0092893636785880167208546200	0.0138715494520737966430850300
erysipelotrichia	0.013398539559188048502713200	0.0722673893405600722673893400	0	0.0011203352042931245028512500	0	0	0	0
oscillatoriophycideae	0	0	0	0	0	0	0.0116117045982350209010682800	0
deltaproteobacteria	0	0	0.010798747345307944278463700	0.0022406704085862490057025100	0	0.051340692165877109052297500	0.5527171388759869948908499800	0.0104036620890553474823137700
anaerolineae	0	0	0.010798747345307944278463700	0.0123236872472243695313637800	0.0048250904704463208685162800	0.0023336678257216867751044300	1.8369716674407803065490013900	0
ignavibacteria	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0023336678257216867751044300	0.130051091500232234091964700	0
mollicutes	0	0	0	0	0.0072376357056694813027744300	0	0	0.0034678873630184491607712600
chlamydiia	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0	0.7431490942870413376683697200	0
cyanobacteria	0.0468948884571581697594962100	0.3432700993676603432700993700	0.0179979122421799071307728300	0.0291287153116212370741325800	4.5379975874547647768395657400	0.3803878555926349443420223600	0.2275894101254064096609382300	0.703981134692745179636565400
betaproteobacteria	0.8776043411268171769277148800	1.5176151761517615176151761500	0.827903963140275728015550200	0.4134036903841629415521123900	1.0518697225572979493365500600	4.2076030897762012555132902400	3.8806316767301439851370181100	82.80274656679151061173533084
acidobacteria	0	0	0.0035995824484359814261545700	0.0022406704085862490057025100	0	0	0.5527171388759869948908499800	0
planctomycetia	0	0	0	0.0011203352042931245028512500	0	0	0.1788202508128193218764514600	0
negativicutes	0	0	0	0.0022406704085862490057025100	0	0.0046673356514433735502088600	0.130051091500232234091964700	0
verrucomicrobiae	0	0	0.0251970771390518699830819600	0	0	0.0280040139086602413012531800	0	0.0554861978082951865723401300
gammaproteobacteria	92.93896965230789843907014135	92.37579042457091237579042457	1.4866275512040603290018357900	1.4317883910866131146439014600	90.33051869722557297949336550	89.28379734428601432872044993	36.444496052020436600092893640	3.7695935636010542377583576100
bacilli	5.2589267769813090373149326700	4.010840108401084010840108400	95.46812569741909938447140132	97.78509730111249285786307263	2.6851628468033775633293124200	1.2648479615411542321066019500	29.379934974454249883882954020	0.9189901511998890276043834100
alphaproteobacteria	0.2210759027266028002947678700	0.307136404697380307136404700	0.1655807926280551456031100400	0.0963488275692087072452077700	0.4607961399276236429433051900	3.6311871368229446220624956200	4.1105434277751973989781700	7.7264530448051047301983631600
cytophagia	0.0334963488979701212567830100	0	0.3239624203592383283539109500	0.0056016760214656225142562700	0.0313630880579010856453558500	0.0630090312944855429278196500	0.4366000928936367858801672100	0.1352476071577195172700790700
flavobacteriia	0.0401956186775641455081396100	0.1264679313459801264679313500	0.7271156545840682480832223500	0.0324897209245006105826863400	0.0217129071170084439083232800	0.0420060208629903619518797700	4.479795633999071063632141200	0.0554861978082951865723401300
fusobacteriia	0	0.0722673893405600722673893400	0	0	0	0	0	0
