class	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
acidimicrobiia	0	6	0	0	0	0	0	0
dehalococcoidia	0	0	0	1	0	0	16	0
chloroflexia	0	0	11	1	11	10	85	0
gemmatimonadetes	1	0	1	1	30	0	0	3
actinobacteria	57	48	203	121	180	246	3303	1082
bacteroidia	12	3	8	12	2	26	914	0
acidobacteriia	0	0	0	0	0	0	28	4
clostridia	14	7	21	19	72	24	1471	6
sphingobacteriia	1	1	14	8	47	139	1458	2
oscillatoriophycidae	0	0	1	0	16	0	0	0
deinococci	0	0	0	0	0	0	4	4
erysipelotrichia	2	4	0	1	0	0	0	0
oscillatoriophycideae	0	0	0	0	0	0	5	0
deltaproteobacteria	0	0	3	2	0	22	238	3
anaerolineae	0	0	3	11	2	1	791	0
ignavibacteria	0	0	0	1	1	1	56	0
mollicutes	0	0	0	0	3	0	0	1
chlamydiia	0	0	0	1	1	0	320	0
cyanobacteria	7	19	5	26	1881	163	98	203
betaproteobacteria	131	84	230	369	436	1803	1671	23877
acidobacteria	0	0	1	2	0	0	238	0
planctomycetia	0	0	0	1	0	0	77	0
negativicutes	0	0	0	2	0	2	56	0
verrucomicrobiae	0	0	7	0	0	12	0	16
gammaproteobacteria	13873	5113	413	1278	37442	38259	15693	1087
bacilli	785	222	26522	87282	1113	542	12651	265
alphaproteobacteria	33	17	46	86	191	1556	1770	2228
cytophagia	5	0	90	5	13	27	188	39
flavobacteriia	6	7	202	29	9	18	1929	16
fusobacteriia	0	4	0	0	0	0	0	0
