family	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
rhizobiaceae	0	0	0.0071991648968719628523091300	0.0011203352042931245028512500	0.0048250904704463208685162800	0.2753728034351590394623229300	0.3553181607059916395726892700	0.0034678873630184491607712600
pseudonocardiaceae	0	0	0	0.0011203352042931245028512500	0.0361881785283474065138721400	0	0	0
nocardioidaceae	0.013398539559188048502713200	0	0	0	0.0024125452352231604342581400	0.0140020069543301206506265900	0	0
burkholderiaceae	0.0200978093387820727540698100	0.1806684733514001806684733500	0	0.0022406704085862490057025100	0.1351025331724969843184559700	0.0863457095517024106788639700	0.5852299117510450534138411500	0.0728256346233874323761964200
rhodocyclaceae	0	0	0.0251970771390518699830819600	0	0	0	0	0
neisseriaceae	0	0.0361336946702800361336946700	0.0287966595874878514092365300	0	0	0	0	0
cytophagaceae	0.0334963488979701212567830100	0	0.3239624203592383283539109500	0.0056016760214656225142562700	0.0313630880579010856453558500	0.0630090312944855429278196500	0.4366000928936367858801672100	0.1352476071577195172700790700
moraxellaceae	0.1406846653714745092784886400	0.5781391147244805781391147200	0.010798747345307944278463700	0.0145643576558106185370662900	0.7985524728588661037394451100	1.0828218711348626636484562800	0.4482117974918718067812354900	0.0589540851713136357331113900
xanthobacteraceae	0	0	0	0	0	0	0.020901068276823037621922900	0
syntrophomonadaceae	0	0	0.0431949893812317771138547900	0	0	0	0	0
methylothermaceae	0	0	0	0	0	0	0.0185787273571760334417092400	0
verrucomicrobiaceae	0	0	0.0251970771390518699830819600	0	0	0.0280040139086602413012531800	0	0
peptoniphilaceae	0.0468948884571581697594962100	0	0.0143983297937439257046182600	0.0022406704085862490057025100	0.1351025331724969843184559700	0.0326713495601036148514620400	0.1788202508128193218764514600	0
dermabacteraceae	0	0.0542005420054200542005420100	0	0.0011203352042931245028512500	0	0.0233366782572168677510443200	0.1045053413841151881096144900	0.0138715494520737966430850300
gemmatimonadaceae	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0.0723763570566948130277442700	0	0	0.0104036620890553474823137700
kofleriaceae	0	0	0	0	0	0	0	0.0104036620890553474823137700
geodermatophilaceae	0	0.0180668473351400180668473400	0	0.0078423464300518715199587700	0	0.0256703460829385545261487500	0.0092893636785880167208546200	0.3259814121237342211124982700
thermoactinomycetaceae	0	0.1445347786811201445347786800	0	0	0	0	0	0
erysipelotrichaceae	0.013398539559188048502713200	0.0722673893405600722673893400	0	0.0011203352042931245028512500	0	0	0	0
desulfobacteraceae	0	0	0	0	0	0.0396723530372686751767753400	0	0
