genus	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
rubellimicrobium	0	0.0180668473351400180668473400	0	0	0	0.0326713495601036148514620400	0	0
prosthecobacter	0	0	0	0	0	0.0093346713028867471004177300	0	0
gemmobacter	0	0	0	0.0011203352042931245028512500	0	0.051340692165877109052297500	0	0
ohtaekwangia	0	0	0.1727799575249271084554191700	0	0	0	0	0
tepidimonas	0.0334963488979701212567830100	0.0903342366757000903342366800	0.1331845505921313127677189400	0.0022406704085862490057025100	0.01688781664656212303980700	0.0210030104314951809759398800	0.9266140269391546679052484900	0
haliscomenobacter	0.006699269779594024251356600	0	0.0035995824484359814261545700	0	0.0024125452352231604342581400	0.0046673356514433735502088600	0.6084533209475150952159777100	0
sandaracinobacter	0	0	0	0.0011203352042931245028512500	0.0723763570566948130277442700	0	0	0
mycoplana	0	0	0.0071991648968719628523091300	0	0	0.0466733565144337355020886300	0.2090106827682303762192289800	0
cryocola	0.006699269779594024251356600	0.0180668473351400180668473400	0.0359958244843598142615456600	0.0044813408171724980114050100	0.0072376357056694813027744300	0	0.5805852299117510450534138400	0.0589540851713136357331113900
bifidobacterium	0	0.0722673893405600722673893400	0.0827903963140275728015550200	0.0078423464300518715199587700	0.0579010856453558504221954200	0.0256703460829385545261487500	1.753367394333488156061309800	0.0069357747260368983215425200
geoalkalibacter	0	0	0.010798747345307944278463700	0	0	0	0	0
enterococcus	3.9391706304012862597976820500	2.5474254742547425474254742500	93.20398833735286706742017926	97.60808433883417918641257464	0.8854041013268998793727382400	0.4527315581900072343702597400	11.339990710636321411983279150	0.5930087390761548064918851400
haemophilus	0.0669926977959402425135660200	0	0	0	0	0.0116683391286084338755221600	0	0
sphingobacterium	0	0	0.0431949893812317771138547900	0.0022406704085862490057025100	0.0024125452352231604342581400	0.0046673356514433735502088600	0.8522991175104505341384115200	0
gemmatimonas	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0.0723763570566948130277442700	0	0	0.0104036620890553474823137700
porphyromonas	0	0	0	0	0.0024125452352231604342581400	0.0280040139086602413012531800	0	0
ralstonia	0	0	0	0.0011203352042931245028512500	0	0	0	0.0589540851713136357331113900
sphingopyxis	0	0	0	0.0011203352042931245028512500	0	0	0.1439851370181142591732466300	0
reyranella	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0163356747800518074257310200	0.4876915931258708778448676300	0
microbacterium	0	0	0	0	0	0.0023336678257216867751044300	0.0162563864375290292614955900	0
pseudomonas	0.4220539961144235278354659300	0.5058717253839205058717253800	0.2987653432201864583708289800	0.3473039133308685958838884600	0.5090470446320868516284680300	81.76471960981073953933397120	1.4746864839758476544356711600	0.4751005687335275350256623700
synechococcus	0.006699269779594024251356600	0	0	0	0.0072376357056694813027744300	0	0	0
clostridium	0	0.0361336946702800361336946700	0.0035995824484359814261545700	0.0011203352042931245028512500	0	0.0046673356514433735502088600	0.7292150487691593125870877800	0.0034678873630184491607712600
chelatococcus	0	0	0.010798747345307944278463700	0	0	0	0	0
micavibrio	0	0	0	0	0	0	0.1764979098931723176962378100	0
sediminibacterium	0	0	0	0.0033610056128793735085537600	0	0.2170311077921168700847121400	0.6456107756618671620993961900	0.0069357747260368983215425200
anaerococcus	0	0	0.010798747345307944278463700	0	0	0	0	0
hyphomicrobium	0.0200978093387820727540698100	0	0.0035995824484359814261545700	0.0022406704085862490057025100	0	0.0303376817343819280763576100	0.2508128193218764514630747800	0.0034678873630184491607712600
terrimonas	0	0	0	0	0.0024125452352231604342581400	0	0.1834649326521133302368787700	0
thermomonas	0	0.1264679313459801264679313500	0	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.2902926149558755225267069200	0
daeguia	0	0.0180668473351400180668473400	0.0827903963140275728015550200	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.3413841151881096144914073400	0
cloacibacterium	0	0.1084010840108401084010840100	0.4895432129872934739570209900	0.0179253632686899920456200500	0.0024125452352231604342581400	0.0046673356514433735502088600	1.1170459823502090106827682300	0.0554861978082951865723401300
paludibacter	0.0468948884571581697594962100	0	0	0	0	0.0140020069543301206506265900	0	0
thermoanaerobacterium	0	0	0.0035995824484359814261545700	0	0	0	0.150952159777055271713887600	0
fusobacterium	0	0.0722673893405600722673893400	0	0	0	0	0	0
prevotella	0	0.0542005420054200542005420100	0	0	0.0024125452352231604342581400	0.0093346713028867471004177300	0.1045053413841151881096144900	0
conexibacter	0	0	0	0	0.0337756332931242460796139900	0.0046673356514433735502088600	0.0023223409196470041802136600	0
exiguobacterium	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.1764979098931723176962378100	0
pelobacter	0	0	0	0	0	0	0.0069670227589410125406409700	0
natronobacillus	0	0	0	0	0	0.0256703460829385545261487500	0	0
thermicanus	0.0267970791183760970054264100	0.0361336946702800361336946700	0.7127173247903243223786040800	0.0436930729674318556111988700	0.01688781664656212303980700	0.0560080278173204826025063600	7.3780771017185322805387830900	0.0381467609932029407684838400
serratia	0.1942788236082267032893414600	0.8672086720867208672086720900	0.0287966595874878514092365300	0.0056016760214656225142562700	0.7575392038600723763570566900	0.1563557443233530139319969200	0.0301904319554110543427775200	0.0173394368150922458038562900
geobacter	0	0	0	0	0	0	0.1695308871342313051555968400	0
empedobacter	0	0.0180668473351400180668473400	0.201576617112414959864655700	0.0112033520429312450285125300	0.0193003618817852834740651400	0.0280040139086602413012531800	3.1444496052020436600092893600	0
planctomyces	0	0	0	0	0	0	0.0812819321876451463074779400	0
enhydrobacter	0.013398539559188048502713200	0.3252032520325203252032520300	0	0	0	0	0.0023223409196470041802136600	0.0173394368150922458038562900
pirellula	0	0	0	0.0011203352042931245028512500	0	0	0.0975383186251741755689735300	0
adhaeribacter	0	0	0	0.0022406704085862490057025100	0	0.0536743599915987958274019300	0	0.0069357747260368983215425200
cyanothece	0	0	0.0035995824484359814261545700	0	0.0386007237635705669481302800	0	0	0
candidatus competibacter	0	0.0180668473351400180668473400	0	0	0.0024125452352231604342581400	0	0.3274500696702275894101254100	0
kocuria	0.0200978093387820727540698100	0	0	0	0	0.0396723530372686751767753400	0	0
legionella	0	0	0	0	0	0.0116683391286084338755221600	0	0
actinomyces	0.0200978093387820727540698100	0.1445347786811201445347786800	0.010798747345307944278463700	0.0078423464300518715199587700	0.0144752714113389626055488500	0.0070010034771650603253132900	0.9753831862517417556897352500	0.0034678873630184491607712600
salinisphaera	0	0.0180668473351400180668473400	0	0	0.0024125452352231604342581400	0.0910130452031457842290728300	0	0.0208073241781106949646275500
alcanivorax	0	0	0	0	0	0.0420060208629903619518797700	0	0
syntrophomonas	0	0	0.0431949893812317771138547900	0	0	0	0	0
cyanobacterium	0	0	0	0	0	0	0.0116117045982350209010682800	0
halotalea	0.0870905071347223152676358300	0.1264679313459801264679313500	0	0	0	0	0	0
candidatus rhabdochlamydia	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0	0.7431490942870413376683697200	0
williamsia	0	0	0	0	0	0.0326713495601036148514620400	0	0
labilithrix	0	0	0	0	0	0	0.1741755689735253135160241500	0
blautia	0.0200978093387820727540698100	0	0	0.0011203352042931245028512500	0	0.0070010034771650603253132900	0	0
fluviicola	0.0401956186775641455081396100	0	0.0359958244843598142615456600	0	0	0	0	0
luteimonas	0	0	0.0395954069327957956877002300	0	0	0.0023336678257216867751044300	0	0
chloroflexus	0	0	0.0395954069327957956877002300	0.0011203352042931245028512500	0.0265379975874547647768395700	0.0233366782572168677510443200	0.1973989781699953553181607100	0
ilumatobacter	0	0	0	0	0	0	0.0557361820715281003251277300	0
brachybacterium	0	0	0	0.0011203352042931245028512500	0	0.0233366782572168677510443200	0.1045053413841151881096144900	0.0138715494520737966430850300
pedomicrobium	0	0	0	0	0	0	0.1695308871342313051555968400	0
leucobacter	0	0	0	0	0	0	0.0069670227589410125406409700	0
virgibacillus	0	0	0	0	0	0	0.1602415234556432884347422200	0
lactococcus	0.0401956186775641455081396100	0.0542005420054200542005420100	0	0.0033610056128793735085537600	0	0.0256703460829385545261487500	0.0534138411518810961449140700	0
sphingomonas	0.006699269779594024251356600	0.0180668473351400180668473400	0.021597494690615888556927400	0.0078423464300518715199587700	0.0530759951749095295536791300	1.9019392779631747217101117800	0.0441244774732930794240594500	0.041614648356221389929255100
rhodoplanes	0	0	0	0	0	0	0.0394797956339990710636321400	0
lysobacter	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0033610056128793735085537600	0.0072376357056694813027744300	0.686098340762175911880702900	0	0
variovorax	0.0468948884571581697594962100	0.0903342366757000903342366800	0.0359958244843598142615456600	0.016805028064396867542768800	0.0410132689987937273823884200	0.2100301043149518097593988500	0.0789595912679981421272642800	6.2213899292550977944236371200
bacteroides	0.006699269779594024251356600	0	0.0071991648968719628523091300	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.1370181142591732466326056700	0
nocardioides	0.013398539559188048502713200	0	0	0	0.0024125452352231604342581400	0.0140020069543301206506265900	0	0
bacillus	0.013398539559188048502713200	0.0180668473351400180668473400	0.0251970771390518699830819600	0.0201660336772762410513225600	0.0072376357056694813027744300	0.0140020069543301206506265900	4.7422201579191825359962842500	0.0104036620890553474823137700
sphingobium	0	0	0	0.0011203352042931245028512500	0	0.1960280973606216891087722600	0.0023223409196470041802136600	0.0034678873630184491607712600
rothia	0.0535941582367521940108528200	0	0	0	0.0989143546441495778045838400	0.0093346713028867471004177300	0	0.0034678873630184491607712600
aquabacterium	0.0200978093387820727540698100	0.0722673893405600722673893400	0.0575933191749757028184730600	0.0100830168386381205256612800	0.0723763570566948130277442700	2.5250285874308650906629950300	0.2856479331165815141662796100	0.0242752115411291441253988100
blastococcus	0	0	0	0	0	0.0070010034771650603253132900	0	0.0104036620890553474823137700
acidobacterium	0	0	0	0	0	0	0.0650255457501161170459823500	0.0138715494520737966430850300
xanthomonas	0	0	0.0863899787624635542277095900	0	0	0	0	0
cytophaga	0	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0093346713028867471004177300	0.4342777519739897816999535500	0
elizabethkingia	0	0	0	0	0	0	0.0116117045982350209010682800	0
rhizobium	0	0	0.0071991648968719628523091300	0.0011203352042931245028512500	0.0048250904704463208685162800	0.0770110382488156635784462400	0.3553181607059916395726892700	0.0034678873630184491607712600
lewinella	0	0.0180668473351400180668473400	0	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.1997213190896423594983743600	0
verrucomicrobium	0	0	0.0251970771390518699830819600	0	0	0.0186693426057734942008354500	0	0
kaistobacter	0	0.0542005420054200542005420100	0	0.0011203352042931245028512500	0.1230398069963811821471652600	0	0	0
novosphingobium	0	0.0180668473351400180668473400	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0583416956430421693776107900	0.5457501161170459823502090100	0
hymenobacter	0	0	0	0.0011203352042931245028512500	0	0	0.0023223409196470041802136600	0.1283118324316826189485365500
helcobacillus	0	0.0542005420054200542005420100	0	0	0	0	0	0
alkanindiges	0	0	0	0.0067220112257587470171075200	0	1.0338148467947072413712632100	0.0301904319554110543427775200	0.0034678873630184491607712600
flavisolibacter	0	0	0	0.0011203352042931245028512500	0.1037394451145958986731001200	0.0140020069543301206506265900	0.4667905248490478402229447300	0
flavobacterium	0	0	0	0	0	0.0093346713028867471004177300	0	0
olsenella	0	0	0	0	0	0	0.0185787273571760334417092400	0
isoptericola	0	0	0.0179979122421799071307728300	0	0.0024125452352231604342581400	0	0	0.0034678873630184491607712600
xanthobacter	0	0	0	0	0	0	0.020901068276823037621922900	0
paracoccus	0	0	0	0.0033610056128793735085537600	0.0024125452352231604342581400	0.6160883059905253086275699500	0	0
methylothermus	0	0	0	0	0	0	0.0185787273571760334417092400	0
salmonella	49.353520466269176659744087890	56.025293586269196025293586270	0.1151866383499514056369461100	0.1378012301280543138507041300	1.1749095295536791314837153200	0.3593848451611397633660824700	0.1625638643752902926149558800	0.1595228186988486613954778700
jeotgalicoccus	0	0.0722673893405600722673893400	0	0	0	0	0	0
acinetobacter	0.1272861258122864607757754400	0.2529358626919602529358626900	0.010798747345307944278463700	0.0078423464300518715199587700	0.7985524728588661037394451100	0.0490070243401554222771930600	0.4156990246168137482582443100	0.0381467609932029407684838400
moorella	0	0	0	0.0022406704085862490057025100	0	0	0.1114723641430562006502554600	0
rhodopila	0	0	0	0	0	0	0.0023223409196470041802136600	0.0069357747260368983215425200
iamia	0	0	0	0	0	0.0023336678257216867751044300	0.0952159777055271713887598700	0.0034678873630184491607712600
knoellia	0	0.0180668473351400180668473400	0.0071991648968719628523091300	0	0	0.0210030104314951809759398800	0	0.0034678873630184491607712600
desulfobacula	0	0	0	0	0	0.0396723530372686751767753400	0	0
alloscardovia	0	0	0	0	0	0.0210030104314951809759398800	0	0
candidatus microthrix	0	0.1084010840108401084010840100	0	0	0	0	0	0
erythrobacter	0	0	0.0035995824484359814261545700	0.0044813408171724980114050100	0	0.0046673356514433735502088600	0.1997213190896423594983743600	0
roseomonas	0.006699269779594024251356600	0	0.0071991648968719628523091300	0.0033610056128793735085537600	0	0	0.0023223409196470041802136600	0.2080732417811069496462754900
anoxybacillus	0.013398539559188048502713200	0.0361336946702800361336946700	0.2951657607717504769446744200	0.0504150841931906026283063900	0.1302774427020506634499396900	0.0093346713028867471004177300	3.1630283325592196934509986100	0.0589540851713136357331113900
bdellovibrio	0	0	0	0.0011203352042931245028512500	0	0.0093346713028867471004177300	0.0905712958662331630283325600	0
ruminococcus	0	0.0180668473351400180668473400	0	0.0123236872472243695313637800	0.0096501809408926417370325700	0.0046673356514433735502088600	1.7417556897352531351602415200	0.0069357747260368983215425200
corynebacterium	0.1339853955918804850271320400	0.3794037940379403794037940400	0.3023649256686224397969835500	0.035850726537379984091240100	0.1037394451145958986731001200	0.1516884086719096403817880600	3.5160241523455643288434742200	0.0693577472603689832154251600
rhodocista	0	0	0	0	0	0.133019066066136146180952600	0	0
eubacterium	0	0	0	0	0.0289505428226779252110977100	0	0	0
cardiobacterium	0	0	0	0	0.0434258142340168878166465600	0	0	0
thiorhodospira	0	0	0	0	0	0	0.0255457501161170459823502100	0
bellilinea	0	0	0.0035995824484359814261545700	0.0022406704085862490057025100	0.0048250904704463208685162800	0.0023336678257216867751044300	0.4575011611704598235020901100	0
aquimonas	0	0	0	0.0011203352042931245028512500	0	0	0.3158383650719925685090571300	0
frigoribacterium	0.006699269779594024251356600	0	0	0.0022406704085862490057025100	0.0048250904704463208685162800	0.0140020069543301206506265900	0.0116117045982350209010682800	0.083229296712442779858510200
polynucleobacter	0	0.0180668473351400180668473400	0	0	0.0989143546441495778045838400	0	0	0
pedosphaera	0	0	0	0	0	0	0	0.0554861978082951865723401300
acidovorax	0.0535941582367521940108528200	0.0180668473351400180668473400	0.1943774522155429970123465700	0.0067220112257587470171075200	0.0120627261761158021712907100	0.8074490676997036241861333500	0.5434277751973989781699953600	0.0104036620890553474823137700
sporocytophaga	0	0	0	0.0011203352042931245028512500	0.0289505428226779252110977100	0	0	0
siphonobacter	0.0334963488979701212567830100	0	0	0	0	0	0	0
neisseria	0	0.0361336946702800361336946700	0.0287966595874878514092365300	0	0	0	0	0
dolosigranulum	0	0.0180668473351400180668473400	0	0	0	0	0	0.0242752115411291441253988100
