genus	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
rubellimicrobium	0	1	0	0	0	14	0	0
prosthecobacter	0	0	0	0	0	4	0	0
gemmobacter	0	0	0	1	0	22	0	0
ohtaekwangia	0	0	48	0	0	0	0	0
tepidimonas	5	5	37	2	7	9	399	0
haliscomenobacter	1	0	1	0	1	2	262	0
sandaracinobacter	0	0	0	1	30	0	0	0
mycoplana	0	0	2	0	0	20	90	0
cryocola	1	1	10	4	3	0	250	17
bifidobacterium	0	4	23	7	24	11	755	2
geoalkalibacter	0	0	3	0	0	0	0	0
enterococcus	588	141	25893	87124	367	194	4883	171
haemophilus	10	0	0	0	0	5	0	0
sphingobacterium	0	0	12	2	1	2	367	0
gemmatimonas	1	0	1	1	30	0	0	3
porphyromonas	0	0	0	0	1	12	0	0
ralstonia	0	0	0	1	0	0	0	17
sphingopyxis	0	0	0	1	0	0	62	0
reyranella	0	0	0	1	1	7	210	0
microbacterium	0	0	0	0	0	1	7	0
pseudomonas	63	28	83	310	211	35037	635	137
synechococcus	1	0	0	0	3	0	0	0
clostridium	0	2	1	1	0	2	314	1
chelatococcus	0	0	3	0	0	0	0	0
micavibrio	0	0	0	0	0	0	76	0
sediminibacterium	0	0	0	3	0	93	278	2
anaerococcus	0	0	3	0	0	0	0	0
hyphomicrobium	3	0	1	2	0	13	108	1
terrimonas	0	0	0	0	1	0	79	0
thermomonas	0	7	0	1	0	1	125	0
daeguia	0	1	23	1	0	1	147	0
cloacibacterium	0	6	136	16	1	2	481	16
paludibacter	7	0	0	0	0	6	0	0
thermoanaerobacterium	0	0	1	0	0	0	65	0
fusobacterium	0	4	0	0	0	0	0	0
prevotella	0	3	0	0	1	4	45	0
conexibacter	0	0	0	0	14	2	1	0
exiguobacterium	1	0	1	1	0	1	76	0
pelobacter	0	0	0	0	0	0	3	0
natronobacillus	0	0	0	0	0	11	0	0
thermicanus	4	2	198	39	7	24	3177	11
serratia	29	48	8	5	314	67	13	5
geobacter	0	0	0	0	0	0	73	0
empedobacter	0	1	56	10	8	12	1354	0
planctomyces	0	0	0	0	0	0	35	0
enhydrobacter	2	18	0	0	0	0	1	5
pirellula	0	0	0	1	0	0	42	0
adhaeribacter	0	0	0	2	0	23	0	2
cyanothece	0	0	1	0	16	0	0	0
candidatus competibacter	0	1	0	0	1	0	141	0
kocuria	3	0	0	0	0	17	0	0
legionella	0	0	0	0	0	5	0	0
actinomyces	3	8	3	7	6	3	420	1
salinisphaera	0	1	0	0	1	39	0	6
alcanivorax	0	0	0	0	0	18	0	0
syntrophomonas	0	0	12	0	0	0	0	0
cyanobacterium	0	0	0	0	0	0	5	0
halotalea	13	7	0	0	0	0	0	0
candidatus rhabdochlamydia	0	0	0	1	1	0	320	0
williamsia	0	0	0	0	0	14	0	0
labilithrix	0	0	0	0	0	0	75	0
blautia	3	0	0	1	0	3	0	0
fluviicola	6	0	10	0	0	0	0	0
luteimonas	0	0	11	0	0	1	0	0
