identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
rhodocista	0	0	0	0	0	0.133019066066136146180952600	0	0
planctomyces	0	0	0	0	0	0	0.0814844131958186855400088500	0
candidatus alysiosphaera	0.006699269779594024251356600	0	0	0	0	0	0	0.0624219725343320848938826500
atopostipes sp.	0.0200978093387820727540698100	0.0180668473351400180668473400	0.0719942404607631389488840900	0.0033610809236250378121603900	0.1109770808202653799758745500	0.1306853982404144594058481700	0.0884687914697460014434381800	0
microbacterium sediminicola	0	0	0	0	0	0.0023336678257216867751044300	0.0162968826391637371080017700	0
fusobacteriaceae	0	0.0722673893405600722673893400	0	0	0	0	0	0
alloscardovia omnicolens	0	0	0	0	0	0.0210030104314951809759398800	0	0
rothia aeria	0.0535941582367521940108528200	0	0	0	0.0989143546441495778045838400	0.0093346713028867471004177300	0	0.0034678873630184491607712600
haliscomenobacter	0	0	0.003599712023038156947444200	0	0	0	0.1676250785742555816823039100	0
knoellia sinensis	0	0.0180668473351400180668473400	0.0071994240460763138948884100	0	0	0.0210030104314951809759398800	0	0.0034678873630184491607712600
alcanivorax dieselolei	0	0	0	0	0	0.0420060208629903619518797700	0	0
pseudomonas stutzeri	0.3818583774368593823273263200	0.4155374887082204155374887100	0.241180705543556515478761700	0.317061967128628566947130200	0.2316043425814234016887816600	80.84758815430211663671792957	0.2723907526831653202337438600	0.405742821473158551810237200
pseudomonas thermotolerans	0	0	0.0467962562994960403167746600	0.0022407206157500252081069300	0.0048250904704463208685162800	0	0.2444532395874560566200265400	0
crocinitomix	0	0	0	0	0	0	0.0372500174609456848182897600	0
porphyromonadaceae	0.0468948884571581697594962100	0	0	0	0	0.0140020069543301206506265900	0	0
agrobacterium sp.	0	0	0	0	0	0.1983617651863433758838766900	0	0
gemmatimonas	0.006699269779594024251356600	0	0.003599712023038156947444200	0.0011203603078750126040534600	0.0723763570566948130277442700	0	0	0
dietzia maris	0.006699269779594024251356600	0	0	0.0022407206157500252081069300	0	0	0.0419062696435638954205759800	0.0138715494520737966430850300
ruminococcus	0	0.0180668473351400180668473400	0	0.0112036030787501260405346400	0.0096501809408926417370325700	0.0046673356514433735502088600	1.7321258119339743440504737700	0.0069357747260368983215425200
roseomonas sp.	0.006699269779594024251356600	0	0.0071994240460763138948884100	0.0022407206157500252081069300	0	0	0.0023281260913091053011431100	0.1976695796920516021639617100
roseovarius sp.	0	0	0	0	0	0.0396723530372686751767753400	0	0
myxococcales	0	0	0	0	0	0	0.1746094568481828975857332400	0
actinomyces cardiffensis	0.006699269779594024251356600	0.0903342366757000903342366800	0	0.0011203603078750126040534600	0	0	0.1094219262915279491537261700	0
dokdonella	0	0	0	0	0	0	0.0162968826391637371080017700	0.0034678873630184491607712600
altererythrobacter	0.006699269779594024251356600	0	0	0	0	0	0.2095313482178194771028798900	0
pseudomonas	0.013398539559188048502713200	0	0.0107991360691144708423326100	0.0190461252338752142689088800	0	0.6020862990361951879769433600	0.2374688613135287407165972100	0.0069357747260368983215425200
olsenella sp.	0	0	0	0	0	0	0.0186250087304728424091448800	0
conexibacteraceae	0	0	0	0	0.0337756332931242460796139900	0	0	0
bdellovibrionaceae	0	0	0	0.0011203603078750126040534600	0	0	0.0907969175610551067445812900	0
hyphomicrobium facile	0.0200978093387820727540698100	0	0	0	0	0.0303376817343819280763576100	0	0
acetobacteraceae	0	0	0	0.0011203603078750126040534600	0	0	0	0.0104036620890553474823137700
clostridium	0	0.0361336946702800361336946700	0	0.0011203603078750126040534600	0	0	0	0
klebsiella	0.0200978093387820727540698100	0.0722673893405600722673893400	0	0.0056018015393750630202673200	0.0868516284680337756332931200	0.0046673356514433735502088600	0.0535469001001094219262915300	0
syntrophomonas spp.	0	0	0.0431965442764578833693304500	0	0	0	0	0
pseudomonas oryzihabitans	0	0	0	0.0022407206157500252081069300	0	0	0.1257188089306916862617279400	0
xylella	0	0	0	0	0	0.0116683391286084338755221600	0	0
