order	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
anaerolineales	0	0	0.010798747345307944278463700	0.0123236872472243695313637800	0.0048250904704463208685162800	0.0023336678257216867751044300	1.8369716674407803065490013900	0
bdellovibrionales	0	0	0	0.0011203352042931245028512500	0	0.0093346713028867471004177300	0.0905712958662331630283325600	0
bifidobacteriales	0	0.0722673893405600722673893400	0.0827903963140275728015550200	0.0078423464300518715199587700	0.0579010856453558504221954200	0.0466733565144337355020886300	1.753367394333488156061309800	0.0069357747260368983215425200
desulfuromonadales	0	0	0.010798747345307944278463700	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.2879702740362285183464932700	0
thermales	0	0	0	0	0	0	0.0092893636785880167208546200	0
erysipelotrichales	0.013398539559188048502713200	0.0722673893405600722673893400	0	0.0011203352042931245028512500	0	0	0	0
methylophilales	0.006699269779594024251356600	0	0	0	0.0506634499396863691194209900	0	0	0
burkholderiales	0.8709050713472231526763582800	1.4814814814814814814814814800	0.7631114790684280623447680100	0.4089223495669904435407073800	0.9987937273823884197828709300	4.2006020862990361951879769400	2.9679516953088713423130515600	82.79581079206547371341378832
methylococcales	0	0	0	0	0	0	0.0185787273571760334417092400	0
acidimicrobiales	0	0.1084010840108401084010840100	0	0	0	0.0023336678257216867751044300	0.150952159777055271713887600	0.0034678873630184491607712600
enterobacteriales	92.16185435787499162591277551	90.87624209575429087624209575	0.7595118966199920809186134400	1.048633751218364534668772900	88.33775633293124246079613993	5.3954400130685398240414459400	30.292614955875522526706920580	3.190456373976973227909557500
deinococcales	0	0	0	0	0	0	0	0.0138715494520737966430850300
bacteroidales	0.0803912373551282910162792300	0.0542005420054200542005420100	0.0287966595874878514092365300	0.0134440224515174940342150400	0.0048250904704463208685162800	0.0606753634687638561527152200	2.12261960055736182071528100	0
verrucomicrobiales	0	0	0.0251970771390518699830819600	0	0	0.0280040139086602413012531800	0	0.0554861978082951865723401300
xanthomonadales	0.0401956186775641455081396100	0.1806684733514001806684733500	0.201576617112414959864655700	0.0156846928601037430399175400	0.4656212303980699638118214700	0.7467737042309397680334181200	3.4951230840687412912215513200	0.0242752115411291441253988100
chromatiales	0	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0	0	0.192754296330701346957733400	0
ignavibacteriales	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0023336678257216867751044300	0.130051091500232234091964700	0
sphingomonadales	0.013398539559188048502713200	0.0903342366757000903342366800	0.0251970771390518699830819600	0.0179253632686899920456200500	0.2653799758745476477683956600	2.1866467527012205082728524400	1.1449140733859730608453320900	0.0450825357192398390900263600
dehalococcoidales	0	0	0	0.0011203352042931245028512500	0	0	0.0371574547143520668834184900	0
synechococcales	0.006699269779594024251356600	0	0	0	0.0072376357056694813027744300	0	0	0
rhodobacterales	0	0.0180668473351400180668473400	0	0.0044813408171724980114050100	0.0024125452352231604342581400	0.7397727007537747077081048300	0	0
rhizobiales	0.1942788236082267032893414600	0.1987353206865401987353206900	0.1331845505921313127677189400	0.0649794418490012211653726800	0.1905910735826296743063932400	0.54607827121887470537443700	2.2480260102183000464468183900	7.1299764183659314745457067600
actinomycetales	0.3818583774368593823273263200	0.7949412827461607949412827500	0.6479248407184766567078218900	0.1277182132894161933250428500	0.3425814234016887816646562100	0.5204079251359361508482882500	5.7013469577333952624245239200	3.7418504646969066444721875400
myxococcales	0	0	0	0	0	0	0.1741755689735253135160241500	0.0104036620890553474823137700
vibrionales	0	0	0	0	0	0.0396723530372686751767753400	0	0
pasteurellales	0.0669926977959402425135660200	0	0	0	0	0.0116683391286084338755221600	0	0
fusobacteriales	0	0.0722673893405600722673893400	0	0	0	0	0	0
oceanospirillales	0.1071883164735043880217056300	0.1987353206865401987353206900	0.212375364457722904143119400	0.0033610056128793735085537600	0.1712907117008443908323281100	0.1213507269375277123054304500	0.1416627960984672549930329800	0
chlamydiales	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0	0.7431490942870413376683697200	0
gammaproteobacteria	0	0.0180668473351400180668473400	0	0	0.0024125452352231604342581400	0	0.3274500696702275894101254100	0
acidobacteriales	0	0	0	0	0	0	0.0650255457501161170459823500	0.0138715494520737966430850300
cytophagales	0.0334963488979701212567830100	0	0.3239624203592383283539109500	0.0056016760214656225142562700	0.0313630880579010856453558500	0.0630090312944855429278196500	0.4366000928936367858801672100	0.1352476071577195172700790700
chroococcales	0	0	0	0	0	0	0.0650255457501161170459823500	0
entomoplasmatales	0	0	0	0	0.0072376357056694813027744300	0	0	0.0034678873630184491607712600
bacillales	0.8642058015676291284250016700	0.668473351400180668473351400	1.1194701414635902235340700500	0.1378012301280543138507041300	0.849215922798552472858866100	0.2987094816923759072133672500	16.71156525777984208081746400	0.1352476071577195172700790700
clostridiales	0.0937897769143163395189924300	0.1264679313459801264679313500	0.0611929016234116842446276200	0.019045698472983116548471300	0.1737032569360675512665862500	0.0560080278173204826025063600	3.1537389688806316767301439900	0.0208073241781106949646275500
salinisphaerales	0	0.0180668473351400180668473400	0	0	0.0024125452352231604342581400	0.0910130452031457842290728300	0	0.0208073241781106949646275500
hydrogenophilales	0	0	0.010798747345307944278463700	0.0044813408171724980114050100	0.0024125452352231604342581400	0.0070010034771650603253132900	0.9126799814212726428239665600	0.0069357747260368983215425200
sphingobacteriales	0.006699269779594024251356600	0.0180668473351400180668473400	0.0503941542781037399661639200	0.0089626816343449960228100200	0.1133896260554885404101326900	0.32437982777531446173951600	3.3859730608453320947515095200	0.0069357747260368983215425200
cardiobacteriales	0	0	0	0	0.0434258142340168878166465600	0	0	0
oscillatoriales	0.0401956186775641455081396100	0.3432700993676603432700993700	0.021597494690615888556927400	0.0280083801073281125712813300	4.5693606755126658624849215900	0.3803878555926349443420223600	0.0301904319554110543427775200	0.703981134692745179636565400
chloroflexales	0	0	0.0395954069327957956877002300	0.0011203352042931245028512500	0.0265379975874547647768395700	0.0233366782572168677510443200	0.1973989781699953553181607100	0
syneschococcales	0	0	0	0.0011203352042931245028512500	0	0	0.1439851370181142591732466300	0
acidobacteria	0	0	0.0035995824484359814261545700	0.0022406704085862490057025100	0	0	0.5527171388759869948908499800	0
legionellales	0	0	0	0	0	0.0116683391286084338755221600	0	0
selenomonadales	0	0	0	0.0022406704085862490057025100	0	0.0046673356514433735502088600	0.130051091500232234091964700	0
rhodospirillales	0.006699269779594024251356600	0	0.0071991648968719628523091300	0.0089626816343449960228100200	0.0024125452352231604342581400	0.1586894121490747007071013500	0.541105434277751973989781700	0.488972118185601331668747400
planctomycetales	0	0	0	0.0011203352042931245028512500	0	0	0.1788202508128193218764514600	0
lactobacillales	4.39472097541367990888993100	3.34236675700090334236675700	94.34865555595550916093733127	97.64729607098443854401236850	1.8359469240048250904704463200	0.966138479848778324893234700	12.668369716674407803065490010	0.7837425440421695103343043400
coriobacteriales	0	0	0	0	0	0	0.0185787273571760334417092400	0
pseudomonadales	0.5627386614858980371139545800	1.0840108401084010840108401100	0.3095640905654944026492926800	0.3618682709866792144209547500	1.3075995174909529553679131500	82.84754148094560220298242748	1.9228982814677194612169066400	0.5340546539048411707587737600
neisseriales	0	0.0361336946702800361336946700	0.0287966595874878514092365300	0	0	0	0	0
rubrobacterales	0	0	0	0	0	0	0.0441244774732930794240594500	0
aeromonadales	0	0	0	0	0	0.0186693426057734942008354500	0	0
thermoanaerobacterales	0	0	0.0143983297937439257046182600	0.0022406704085862490057025100	0	0	0.2624245239201114723641430600	0
solirubrobacterales	0	0	0	0	0.0337756332931242460796139900	0.0046673356514433735502088600	0.0023223409196470041802136600	0
alphaproteobacteria	0.006699269779594024251356600	0	0	0	0	0	0.1764979098931723176962378100	0.0624219725343320848938826500
flavobacteriales	0.0401956186775641455081396100	0.1264679313459801264679313500	0.7271156545840682480832223500	0.0324897209245006105826863400	0.0217129071170084439083232800	0.0420060208629903619518797700	4.479795633999071063632141200	0.0554861978082951865723401300
thiotrichales	0	0	0	0.0011203352042931245028512500	0	0	0.0534138411518810961449140700	0
gemmatimonadales	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0.0723763570566948130277442700	0	0	0.0104036620890553474823137700
rhodocyclales	0	0	0.0251970771390518699830819600	0	0	0	0	0
desulfobacterales	0	0	0	0	0	0.0396723530372686751767753400	0	0
