order	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
anaerolineales	0	0	3	11	2	1	791	0
bdellovibrionales	0	0	0	1	0	4	39	0
bifidobacteriales	0	4	23	7	24	20	755	2
desulfuromonadales	0	0	3	1	0	1	124	0
thermales	0	0	0	0	0	0	4	0
erysipelotrichales	2	4	0	1	0	0	0	0
methylophilales	1	0	0	0	21	0	0	0
burkholderiales	130	82	212	365	414	1800	1278	23875
methylococcales	0	0	0	0	0	0	8	0
acidimicrobiales	0	6	0	0	0	1	65	1
enterobacteriales	13757	5030	211	936	36616	2312	13044	920
deinococcales	0	0	0	0	0	0	0	4
bacteroidales	12	3	8	12	2	26	914	0
verrucomicrobiales	0	0	7	0	0	12	0	16
xanthomonadales	6	10	56	14	193	320	1505	7
chromatiales	0	0	1	1	0	0	83	0
ignavibacteriales	0	0	0	1	1	1	56	0
sphingomonadales	2	5	7	16	110	937	493	13
dehalococcoidales	0	0	0	1	0	0	16	0
synechococcales	1	0	0	0	3	0	0	0
rhodobacterales	0	1	0	4	1	317	0	0
rhizobiales	29	11	37	58	79	234	968	2056
actinomycetales	57	44	180	114	142	223	2455	1079
myxococcales	0	0	0	0	0	0	75	3
vibrionales	0	0	0	0	0	17	0	0
pasteurellales	10	0	0	0	0	5	0	0
fusobacteriales	0	4	0	0	0	0	0	0
oceanospirillales	16	11	59	3	71	52	61	0
chlamydiales	0	0	0	1	1	0	320	0
gammaproteobacteria	0	1	0	0	1	0	141	0
acidobacteriales	0	0	0	0	0	0	28	4
cytophagales	5	0	90	5	13	27	188	39
chroococcales	0	0	0	0	0	0	28	0
entomoplasmatales	0	0	0	0	3	0	0	1
bacillales	129	37	311	123	352	128	7196	39
clostridiales	14	7	17	17	72	24	1358	6
salinisphaerales	0	1	0	0	1	39	0	6
hydrogenophilales	0	0	3	4	1	3	393	2
sphingobacteriales	1	1	14	8	47	139	1458	2
cardiobacteriales	0	0	0	0	18	0	0	0
oscillatoriales	6	19	6	25	1894	163	13	203
chloroflexales	0	0	11	1	11	10	85	0
syneschococcales	0	0	0	1	0	0	62	0
acidobacteria	0	0	1	2	0	0	238	0
legionellales	0	0	0	0	0	5	0	0
selenomonadales	0	0	0	2	0	2	56	0
rhodospirillales	1	0	2	8	1	68	233	141
planctomycetales	0	0	0	1	0	0	77	0
lactobacillales	656	185	26211	87159	761	414	5455	226
coriobacteriales	0	0	0	0	0	0	8	0
pseudomonadales	84	60	86	323	542	35501	828	154
neisseriales	0	2	8	0	0	0	0	0
rubrobacterales	0	0	0	0	0	0	19	0
aeromonadales	0	0	0	0	0	8	0	0
thermoanaerobacterales	0	0	4	2	0	0	113	0
solirubrobacterales	0	0	0	0	14	2	1	0
alphaproteobacteria	1	0	0	0	0	0	76	18
flavobacteriales	6	7	202	29	9	18	1929	16
thiotrichales	0	0	0	1	0	0	23	0
gemmatimonadales	1	0	1	1	30	0	0	3
rhodocyclales	0	0	7	0	0	0	0	0
desulfobacterales	0	0	0	0	0	17	0	0
