phylum	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
bacteroidetes	24	11	314	54	71	210	4489	57
chloroflexi	0	0	14	13	13	11	892	0
actinobacteria	57	54	203	121	180	246	3303	1082
verrucomicrobia	0	0	7	0	0	12	0	16
cyanobacteria	7	19	6	26	1897	163	103	203
chlamydiae	0	0	0	1	1	0	320	0
acidobacteria	0	0	1	2	0	0	266	4
gemmatimonadetes	1	0	1	1	30	0	0	3
planctomycetes	0	0	0	1	0	0	77	0
ignavibacteriae	0	0	0	1	1	1	56	0
firmicutes	801	233	26543	87304	1185	568	14178	271
proteobacteria	14037	5214	692	1735	38069	41640	19372	27195
fusobacteria	0	4	0	0	0	0	0	0
deinococcus_thermus	0	0	0	0	0	0	4	4
tenericutes	0	0	0	0	3	0	0	1
