species	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
oxalobacter sp.	0.1540832049306625577812018500	0.1084010840108401084010840100	0.0539937367265397213923184900	0.0560167602146562251425626500	0.1833534378769601930036188200	0.0816783739002590371286551100	0.1254064096609382257315373900	10.188653072548203634345956440
pirellula spp.	0	0	0	0.0011203352042931245028512500	0	0	0.0975383186251741755689735300	0
enterococcus faecium	0.0200978093387820727540698100	0.0180668473351400180668473400	0.3167632554623663655016018100	0.324897209245006105826863400	0.0024125452352231604342581400	0	0	0.0034678873630184491607712600
chloroflexus spp.	0	0	0.0395954069327957956877002300	0.0011203352042931245028512500	0.0265379975874547647768395700	0.0233366782572168677510443200	0.1973989781699953553181607100	0
labilithrix luteola	0	0	0	0	0	0	0.1741755689735253135160241500	0
syntrophomonas spp.	0	0	0.0431949893812317771138547900	0	0	0	0	0
pedosphaera spp.	0	0	0	0	0	0	0	0.0554861978082951865723401300
nocardioides spp.	0	0	0	0	0	0.0140020069543301206506265900	0	0
ruminococcus sp.	0	0.0180668473351400180668473400	0	0.0112033520429312450285125300	0.0096501809408926417370325700	0.0046673356514433735502088600	1.7278216442173711100789595900	0.0069357747260368983215425200
thiorhodospira spp.	0	0	0	0	0	0	0.0255457501161170459823502100	0
uncultured candidatus competibacter sp.	0	0.0180668473351400180668473400	0	0	0.0024125452352231604342581400	0	0.3274500696702275894101254100	0
rhodocista sp.	0	0	0	0	0	0.133019066066136146180952600	0	0
corynebacterium kroppenstedtii	0	0.0542005420054200542005420100	0.0035995824484359814261545700	0	0.0434258142340168878166465600	0	0	0
planctomyces sp.	0	0	0	0	0	0	0.0812819321876451463074779400	0
pantoea spp.	42.593957258658806190125276340	33.911472448057813911472448060	0.615528598682552823872430800	0.8996291690473789757895562400	86.31845597104945717732207479	4.8750320879326036731931576900	30.046446818392940083604273110	3.0135941184630323207102233300
bifidobacterium thermophilum	0	0.0722673893405600722673893400	0.0827903963140275728015550200	0.0078423464300518715199587700	0.0579010856453558504221954200	0.0256703460829385545261487500	1.753367394333488156061309800	0.0069357747260368983215425200
alcanivorax dieselolei	0	0	0	0	0	0.0420060208629903619518797700	0	0
erysipelothrix rhusiopathiae	0.013398539559188048502713200	0.0361336946702800361336946700	0	0	0	0	0	0
actinomyces johnsonii	0.013398539559188048502713200	0	0.0035995824484359814261545700	0	0.0096501809408926417370325700	0.0046673356514433735502088600	0.0719925685090571295866233200	0
streptococcus sanguinis	0.314865679640919139813760300	0.0180668473351400180668473400	0.1295849681436953313415643800	0.0022406704085862490057025100	0.1640530759951749095295536800	0.1610230799747963874822057800	0.0743149094287041337668369700	0
haliangium spp.	0	0	0	0	0	0	0	0.0104036620890553474823137700
terrimonas spp.	0	0	0	0	0.0024125452352231604342581400	0	0.1834649326521133302368787700	0
novosphingobium subarcticum	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0583416956430421693776107900	0.3715745471435206688341848600	0
acidobacterium spp.	0	0	0	0	0	0	0.0650255457501161170459823500	0.0138715494520737966430850300
cardiobacterium hominis	0	0	0	0	0.0434258142340168878166465600	0	0	0
brachybacterium arcticum	0	0	0	0.0011203352042931245028512500	0	0.0233366782572168677510443200	0.1045053413841151881096144900	0.0138715494520737966430850300
