otu name	Taxonomy	Percent Homology	evalue	bitscore	homology extract gibbsfree_otu/gibbsfree_homolog	total length gibbsfree_otu/otu_lenth/gibbsfree_homolog/homolog_length	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
OTU_1	eu704216.1 human biliary stents clone klond03  ;k__bacteria;p__firmicutes;c__bacilli;o__lactobacillales;f__enterococcaceae;g__enterococcus;s__enterococcus faecalis;superkingdom__bacteria	99.2673992673993	4.24478e-135	484.589			519	115	23029	72365	260	150	328	129
OTU_2	uncultured pantoea sp. ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__enterobacteriales;f__enterobacteriaceae;g__pantoea;s__pantoea spp.;superkingdom__bacteria	98.9010989010989	1.80493e-133	479.179			6259	1850	170	790	35131	2057	12751	856
OTU_3	gq433962.1 subseafloor ocean crust microbial observatories: (f_through osmo colonization system) and evaluation borehole materials seafloor black flocs colonization experiment glass wool clone blkflocs_h02  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas stutzeri;superkingdom__bacteria;species group  pseudomonas stutzeri group;species subgroup  pseudomonas stutzeri subgroup	98.9010989010989	1.80493e-133	479.179			57	23	65	279	91	34407	116	113
OTU_4	af529109.1 trichloroethene_contaminated site clone ftl254 proteobacterium  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__oxalobacteraceae;g__massilia;s__massilia timonae;superkingdom__bacteria	98.9010989010989	1.80493e-133	479.179			73	34	57	238	129	175	92	15800
OTU_5	ef604015.1 salmonella typhimurium exploits inflammation compete intestinal microbiota mouse cecum clone 16saw43_2c06.p1k  ;k__bacteria;p__proteobacteria;c__gammaproteobacteria;o__enterobacteriales;f__enterobacteriaceae;g__salmonella;s__salmonella enterica;superkingdom__bacteria	99.2673992673993	4.24478e-135	484.589			7325	3078	32	123	486	153	68	46
OTU_7	thermicanus aegyptius ;k__bacteria;p__firmicutes;c__bacilli;o__bacillales;f__bacillales family x. incertae sedis;g__thermicanus;s__thermicanus aegyptius;superkingdom__bacteria	97.4358974358974	4.84329e-128	461.145			4	2	196	38	7	23	3099	11
OTU_8	oxalobacter sp. w1.09_142 ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__oxalobacteraceae;g__oxalobacter;s__oxalobacter sp.;superkingdom__bacteria	98.9010989010989	1.80493e-133	479.179			23	6	15	50	76	35	54	2938
OTU_9	gq014444.1 topographical and temporal human skin microbiome skin axillary vault clone nbw811d10c1  ;k__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhizobiales;f__methylobacteriaceae;g__methylobacterium;s__methylobacterium adhaesivum;superkingdom__bacteria	98.9010989010989	1.80493e-133	479.179			9	5	5	39	10	17	22	1528
OTU_10	halospirulina sp. ef17(2012) ;k__bacteria;p__cyanobacteria;c__cyanobacteria;o__oscillatoriales;f__oscillatoriales;g__halospirulina;s__halospirulina sp.;superkingdom__bacteria;subclass  oscillatoriophycideae	99.2673992673993	4.24478e-135	484.589			6	19	5	25	1878	163	13	203
OTU_11	ay571831.1 variovorax sp. 44/31  ;k__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__comamonadaceae;g__variovorax;s__variovorax paradoxus;superkingdom__bacteria	98.9010989010989	1.80493e-133	479.179			6	5	10	15	17	89	31	1701
